last_name, first_name,player_id,year,b_total_pa,pop_2b_sba,
Encarnacion, Jerar,666464,2022,81,,
Morel, Christopher,666624,2022,425,,
Castro, Rodolfo,666801,2022,278,,
Dalbec, Bobby,666915,2022,353,,
Garcia, Adolis,666969,2022,657,,
Gurriel Jr., Lourdes,666971,2022,493,,
Arozarena, Randy,668227,2022,645,,
Pratto, Nick,668472,2022,182,,
Barrera, Tres,668663,2022,53,2.05,
Bleday, JJ,668709,2022,238,,
Steer, Spencer,668715,2022,108,,
Baddoo, Akil,668731,2022,225,,
Mitchell, Cal,668751,2022,232,,
Knizner, Andrew,668800,2022,293,2.04,
Reynolds, Bryan,668804,2022,614,,
Capel, Conner,668843,2022,59,,
Rutschman, Adley,668939,2022,470,1.93,
Rojas, Josh,668942,2022,510,,
Kreidler, Ryan,668952,2022,84,,
Mitchell, Garrett,669003,2022,68,,
Melendez Jr., MJ,669004,2022,534,1.97,
Marsh, Brandon,669016,2022,461,,
Stowers, Kyle,669065,2022,98,,
Huff, Sam,669087,2022,132,2.01,
Langeliers, Shea,669127,2022,153,1.93,
Campusano, Luis,669134,2022,50,1.89,
Murphy, Sean,669221,2022,612,1.89,
Senzel, Nick,669222,2022,420,,
Edman, Tommy,669242,2022,630,,
Solak, Nick,669256,2022,95,,
Smith, Will,669257,2022,578,1.93,
Suwinski, Jack,669261,2022,372,,
Espinal, Santiago,669289,2022,491,,
Miranda, Jose,669304,2022,483,,
Thompson, Bubba,669352,2022,181,,
Gorman, Nolan,669357,2022,313,,
Hiura, Keston,669374,2022,266,,
Burger, Jake,669394,2022,183,,
Allen, Nick,669397,2022,326,,
Hummel, Cooper,669450,2022,201,2.08,
Smith, Josh H.,669701,2022,253,,
Hays, Austin,669720,2022,582,,
Hall, Darick,669742,2022,142,,
Call, Alex,669743,2022,131,,
Toglia, Michael,669911,2022,120,,
Lopez, Nicky,670032,2022,480,,
Raley, Luke,670042,2022,72,,
Wallner, Matt,670242,2022,65,,
Stevenson, Cal,670276,2022,71,,
Rojas, Jose,670351,2022,57,,
Alvarez, Yordan,670541,2022,561,,
Paredes, Isaac,670623,2022,381,,
Brosseau, Mike,670712,2022,160,,
Walls, Taylor,670764,2022,466,,
Gonzalez, Luis,670768,2022,350,,
Friedl Jr., TJ,670770,2022,258,,
Soto, Livan,670869,2022,59,,
Kennedy, Buddy,671083,2022,94,,
Casas, Triston,671213,2022,95,,
Waters, Drew,671221,2022,109,,
Garcia, Luis,671277,2022,377,,
Freeman, Tyler,671289,2022,86,,
Harris II, Michael,671739,2022,441,,
