last_name, first_name,player_id,year,b_total_pa,isolated_power,
Grissom, Vaughn,687093,2022,156,.149,
Pujols, Albert,405395,2021,296,.196,
Cabrera, Miguel,408234,2021,526,.129,
Rivera, Rene,425784,2021,78,.130,
Wainwright, Adam,425794,2021,74,.035,
Molina, Yadier,425877,2021,473,.118,
Suzuki, Kurt,435559,2021,247,.119,
Cruz Jr., Nelson,443558,2021,584,.232,
Peralta, David,444482,2021,538,.144,
Pina, Manny,444489,2021,208,.250,
Escobar, Alcides,444876,2021,349,.116,
Longoria, Evan,446334,2021,291,.221,
Morton, Charlie,450203,2021,62,.018,
Lester, Jon,452657,2021,51,.104,
Cabrera, Asdrubal,452678,2021,352,.136,
Scherzer, Max,453286,2021,63,.000,
Blackmon, Charlie,453568,2021,582,.140,
Maldonado, Martin,455117,2021,426,.129,
Chirinos, Robinson,455139,2021,112,.227,
Cain, Lorenzo,456715,2021,286,.144,
Solano, Donovan,456781,2021,344,.124,
McCutchen, Andrew,457705,2021,574,.222,
Upton, Justin,457708,2021,362,.198,
Turner, Justin,457759,2021,612,.193,
Posey III, Buster,457763,2021,454,.195,
Votto, Joey,458015,2021,533,.297,
Gardner, Brett,458731,2021,461,.140,
Joyce, Matt,459964,2021,69,.127,
Romine, Andrew,461865,2021,64,.083,
Andrus, Elvis,462101,2021,541,.076,
Sandoval, Pablo,467055,2021,86,.164,
Ramos, Wilson,467092,2021,163,.192,
Santana, Carlos,467793,2021,659,.127,
Parra, Gerardo,467827,2021,107,.113,
Mercer, Jordy,474568,2021,127,.110,
Belt, Brandon,474832,2021,381,.323,
Zimmerman, Ryan,475582,2021,273,.227,
Lowrie, Jed,476704,2021,512,.153,
Avila, Alex,488671,2021,111,.157,
Brantley Jr., Michael,488726,2021,508,.126,
Castro, Jason,488771,2021,179,.208,
Miley, Wade,489119,2021,59,.056,
Gurriel, Yuli,493329,2021,605,.143,
Rojas, Miguel,500743,2021,539,.127,
Escobar, Eduardo,500871,2021,599,.219,
Adrianza, Ehire,501303,2021,209,.154,
Lagares, Juan,501571,2021,327,.136,
Almonte, Abraham,501659,2021,175,.182,
Davis, Khris,501981,2021,114,.157,
Pham, Tommy,502054,2021,561,.154,
Martinez, J.D.,502110,2021,634,.232,
Reddick, Josh,502210,2021,158,.113,
Freeman, Mike,502273,2021,65,.000,
